iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,Latitude,Longitude,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,population,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
GMB,Africa,Gambia,7/21/24,12627,0,0,372,13.443182	,-15.310139	,0,4569.37,0,0,134.62,2705995,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.57,17.5,2.34,1.42,1561.77,10.1,331.43,1.91,0.7,31.2,7.88,1.1,62.05,0.5,2705995,,,,
GEO,Asia,Georgia,7/21/24,1863615,116,16.57,17150,42.315407	,43.356892	,0,489444.4,30.46,4.35,4504.13,3744385,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.03,38.7,14.86,10.24,9745.08,4.2,496.22,7.11,5.3,55.5,,2.6,73.77,0.81,3744385,,,,
DEU,Europe,Germany,7/21/24,38437756,,,174979,51.165691	,10.451526	,,454744.28,,,2070.12,83369840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.02,46.6,21.45,15.96,45229.24,,156.14,8.31,28.2,33.1,,8,81.33,0.95,83369840,,,,
GHA,Africa,Ghana,7/21/24,172057,0,0,1462,7.946527	    ,-1.023194	,0,4992.61,0,0,42.42,33475870,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.72,21.1,3.38,1.95,4227.63,12,298.24,4.97,0.3,7.7,41.05,0.9,64.07,0.61,33475870,,,,
GIB,Europe,Gibraltar,7/21/24,20550,0,0,113,36.137741	,-5.345374	,0,521680.25,0,0,2868.61,32677,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3457.1,,,,,,,,,,,,79.93,,32677,,,,
GRC,Europe,Greece,7/21/24,5661735,5415,773.57,39167,39.074208	,21.824312	,5.57,563814.4,539.24,77.04,3900.38,10384972,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.48,45.3,20.4,14.52,24574.38,1.5,175.7,4.55,35.3,52,,4.21,82.24,0.89,10384972,,,,
GRL,North America,Greenland,7/21/24,11971,0,0,21,71.706936	,-42.604303	,0,214308.66,0,0,375.95,56494,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,199.94,2.16,,,,,71.7,,56494,,,,
GRD,North America,Grenada,7/21/24,19693,0,0,238,12.262776	,-61.604171	,0,167998.22,0,0,2030.34,125459,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.13,29.4,7.3,5.02,13593.88,,243.96,10.71,,,,3.7,72.4,0.78,125459,,,,
GLP,North America,Guadeloupe,7/21/24,203235,0,0,1021,16.995971	,-62.067641	,0,541902.4,0,0,2722.38,395762,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,,,,,,82.14,,395762,,,,
GUM,Oceania,Guam,7/21/24,52287,0,0,419,13.444304	,144.793731	,0,311500.7,0,0,2496.2,171783,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.13,31.4,9.55,5.49,,,310.5,21.52,,,,,80.07,,171783,,,,
GTM,North America,Guatemala,7/21/24,1250369,2,0.29,20203,15.783471	,-90.230759	,0,67874.45,0.11,0.02,1096.69,17843914,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.83,22.9,4.69,3.02,7423.81,8.7,155.9,10.18,,,76.67,0.6,74.3,0.66,17843914,,,,
GGY,Europe,Guernsey,7/21/24,35326,0,0,67,49.465691	,-2.585278	,0,549268.5,0,0,1041.75,63329,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63329,,,,
GIN,Africa,Guinea,7/21/24,38572,0,0,468,9.945587	    ,-9.696645	,0,2610.86,0,0,31.68,13859349,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.76,19,3.14,1.73,1998.93,35.3,336.72,2.42,,,17.45,0.3,61.6,0.48,13859349,,,,
GNB,Africa,Guinea-Bissau,7/21/24,9614,0,0,177,11.803749	,-15.180413	,0,4362.07,0,0,80.31,2105580,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.19,19.4,3,1.56,1548.68,67.1,382.47,2.42,,,6.4,,58.32,0.48,2105580,,,,
GUY,South America,Guyana,7/21/24,74357,0,0,1302,4.860416	    ,-58.93018	,0,89440.04,0,0,1566.11,808727,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.95,26.3,5.3,2.84,7435.05,,373.16,11.62,,,77.16,1.6,69.91,0.68,808727,,,,
HTI,North America,Haiti,7/21/24,34298,0,0,860,18.971187	,-72.285215	,0,2911.58,0,0,73.01,11585003,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.45,24.3,4.8,2.95,1653.17,23.5,430.55,6.65,2.9,23.1,22.86,0.7,64,0.51,11585003,,,,
OWID_HIC,,High-income countries,7/21/24,428935384,25149,3592.71,2995200,,,82.71,348177.34,20.41,2.92,2431.28,1250514600,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250514600,,,,
HND,North America,Honduras,7/21/24,472888,1,0.14,11114,15.199999	,-86.241905	,0,43642.17,0.09,0.01,1025.7,10432858,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.8,24.9,4.65,2.88,4541.8,16,240.21,7.21,2,,84.17,0.7,75.27,0.63,10432858,,,,
HKG,Asia,Hong Kong,7/21/24,,,,,22.396428	,114.109497	,,,,,,7488863,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,20,5,0,,7039.71,44.8,16.3,10.16,56054.92,,,8.33,,,,,84.86,0.95,7488863,,,,
HUN,Europe,Hungary,7/21/24,2230591,43,6.14,49053,47.162494	,19.503304	,0.29,230582.25,4.44,0.64,5070.74,9967304,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.04,43.4,18.58,11.98,26777.56,0.5,278.3,7.55,26.8,34.8,,7.02,76.88,0.85,9967304,,,,
ISL,Europe,Iceland,7/21/24,210315,58,8.29,186,64.963051	,-19.020835	,0,534241,147.33,21.05,472.48,372903,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,37.3,14.43,9.21,46482.96,0.2,117.99,5.31,14.3,15.2,,2.91,82.99,0.95,372903,,,,
IND,Asia,India,7/21/24,45041192,440,62.86,533623,20.593684	,78.96288	,0.14,31027.71,0.3,0.04,367.6,1417173120,0,,,,,,,,,,,,,,,,,,,2206867803,,951990485,227438459,4,7,155.72,,67.18,16.05,0,3,0,,450.42,28.2,5.99,3.41,6426.67,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.64,1417173120,,,,
IDN,Asia,Indonesia,7/21/24,6829353,48,6.86,162059,-0.789275	,113.921327	,0,24080.06,0.17,0.02,571.41,275501344,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.72,29.3,5.32,3.05,11188.74,5.7,342.86,6.32,2.8,76.1,64.2,1.04,71.72,0.72,275501344,,,,
IRN,Asia,Iran,7/21/24,7627863,0,0,146837,32.427908	,53.688046	,0,83260.61,0,0,1602.77,88550568,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.83,32.4,5.44,3.18,19082.62,0.2,270.31,9.59,0.8,21.1,,1.5,76.68,0.78,88550568,,,,
IRQ,Asia,Iraq,7/21/24,2465545,0,0,25375,33.223191	,43.679291	,0,53487.59,0,0,550.49,44496124,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.12,20,3.19,1.96,15663.99,2.5,218.61,8.83,,,94.58,1.4,70.6,0.67,44496124,,,,
IRL,Europe,Ireland,7/21/24,1743422,982,140.29,9699,53.41291	    ,-8.24389	,0.43,331579.97,186.77,26.68,1844.64,5023108,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.87,38.7,13.93,8.68,67335.29,0.2,126.46,3.28,23,25.7,,2.96,82.3,0.96,5023108,,,,
IMN,Europe,Isle of Man,7/21/24,38008,0,0,116,54.236107	,-4.548056	,0,451512.06,0,0,1378.01,84534,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.87,,,,,,,,,,,,81.4,,84534,,,,
ISR,Asia,Israel,7/21/24,4841558,0,0,12707,31.046051	,34.851612	,0,515380.25,0,0,1352.65,9449000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.61,30.6,11.73,7.36,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.92,9449000,,,,
ITA,Europe,Italy,7/21/24,26727644,0,0,197081,41.87194	    ,12.56738	,0,450475.3,0,0,3321.66,59037472,0,,44,0.74,1421,24.07,44,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,205.86,47.9,23.02,16.24,35220.08,2,113.15,4.78,19.8,27.8,,3.18,83.51,0.89,59037472,,,,
JAM,North America,Jamaica,7/21/24,157137,22,3.14,3604,18.109581	,-77.297508	,0,55348.1,7.75,1.11,1269.43,2827382,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.88,31.4,9.68,6.39,8193.57,,206.54,11.28,5.3,28.6,66.42,1.7,74.47,0.73,2827382,,,,
JPN,Asia,Japan,7/21/24,33803572,0,0,74694,36.204824	,138.252924	,0,273232.06,0,0,603.75,123951696,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.78,48.2,27.05,18.49,39002.22,,79.37,5.72,11.2,33.7,,13.05,84.63,0.92,123951696,,,,
JEY,Europe,Jersey,7/21/24,66391,0,0,161,49.214439	,-2.13125	,0,639211.56,0,0,1550.11,110796,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110796,,,,
JOR,Asia,Jordan,7/21/24,1746997,0,0,14122,30.585164	,36.238414	,0,151240.5,0,0,1222.57,11285875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.28,23.2,3.81,2.36,8337.49,0.1,208.26,11.75,,,,1.4,74.53,0.73,11285875,,,,
KAZ,Asia,Kazakhstan,7/21/24,1504370,0,0,19072,48.019573	,66.923684	,0,73005.2,0,0,925.54,19397998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.68,30.6,6.99,4.62,24055.59,0.1,466.79,7.11,7,43.1,99,6.7,73.6,0.82,19397998,,,,
KEN,Africa,Kenya,7/21/24,344105,0,0,5689,-0.023559	,37.906193	,0,6091.09,0,0,100.7,54027484,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.32,20,2.69,1.53,2993.03,36.8,218.64,2.92,1.2,20.4,24.65,1.4,66.7,0.6,54027484,,,,
KIR,Oceania,Kiribati,7/21/24,5085,0,0,24,,,0,37770.52,0,0,178.27,131237,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.7,23.2,3.9,2.21,1981.13,,434.66,22.66,35.9,58.9,,1.9,68.37,0.63,131237,,,,
OWID_KOS,Europe,Kosovo,7/21/24,274279,0,0,3212,42.602636	,20.902977	,0,162852.95,0,0,1907.12,1782115,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.16,,,,9795.83,0.6,,,,,,,,,1782115,,,,
KWT,Asia,Kuwait,7/21/24,667290,0,0,2570,29.31166	    ,47.481766	,0,135091.92,0,0,520.29,4268886,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.13,33.7,2.35,1.11,65530.54,,132.24,15.84,2.7,37,,2,75.49,0.81,4268886,,,,
KGZ,Asia,Kyrgyzstan,7/21/24,88953,0,0,1024,41.20438	    ,74.766098	,0,12368.35,0,0,142.38,6630621,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.33,26.3,4.49,2.88,3393.47,1.4,436.36,7.11,3.6,50.5,89.22,4.5,71.45,0.7,6630621,,,,
LAO,Asia,Laos,7/21/24,219060,0,0,671,19.85627	    ,102.495496	,0,28173.18,0,0,86.3,7529477,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.72,24.4,4.03,2.32,6397.36,22.7,368.11,4,7.3,51.2,49.84,1.5,67.92,0.61,7529477,,,,
LVA,Europe,Latvia,7/21/24,977765,0,0,7475,56.879635	,24.603189	,0,522625.72,0,0,3995.47,1850654,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.21,43.9,19.75,14.14,25063.85,0.7,350.06,4.91,25.6,51,,5.57,75.29,0.87,1850654,,,,
LBN,Asia,Lebanon,7/21/24,1239904,0,0,10947,33.854721	,35.862285	,0,213469.44,0,0,1884.7,5489744,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594.56,31.1,8.51,5.43,13367.56,,266.59,12.71,26.9,40.7,,2.9,78.93,0.74,5489744,,,,
LSO,Africa,Lesotho,7/21/24,36138,0,0,709,-29.609988	,28.233608	,0,15451.21,0,0,303.14,2305826,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.56,22.2,4.51,2.65,2851.15,59.6,405.13,3.94,0.4,53.9,2.12,,54.33,0.53,2305826,,,,
LBR,Africa,Liberia,7/21/24,7930,0,0,294,6.428055	    ,-9.429499	,0,1411.21,0,0,52.32,5302690,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.13,19.2,3.06,1.76,752.79,38.6,272.51,2.42,1.5,18.1,1.19,0.8,64.1,0.48,5302690,,,,
LBY,Africa,Libya,7/21/24,507269,0,0,6437,26.3351	    ,17.228331	,0,68686.53,0,0,871.6,6812344,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,29,4.42,2.82,17881.51,,341.86,10.43,,,,3.7,72.91,0.72,6812344,,,,
LIE,Europe,Liechtenstein,7/21/24,21587,3,0.43,89,47.166	    ,9.555373	,0,540916.5,75.17,10.74,2230.12,39355,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.01,,,,,,,7.77,,,,2.4,82.49,0.92,39355,,,,
LTU,Europe,Lithuania,7/21/24,1367900,347,49.57,9809,55.169438	,23.881275	,0,478700.8,121.43,17.35,3432.69,2750058,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,0,0,,45.14,43.5,19,13.78,29524.26,0.7,342.99,3.67,21.3,38,,6.56,75.93,0.88,2750058,,,,
OWID_LIC,,Low-income countries,7/21/24,1944245,0,0,43525,,,0,2565.67,0,0,57.44,737604900,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737604900,,,,
OWID_LMC,,Lower-middle-income countries,7/21/24,91947733,587,83.86,1188017,,,0.14,27892.04,0.18,0.02,360.38,3432097300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3432097300,,,,
LUX,Europe,Luxembourg,7/21/24,393140,311,44.43,1000,49.815273	,6.129583	,0,583770.94,461.8,65.97,1484.89,647601,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.45,39.7,14.31,9.84,94277.96,0.2,128.28,4.42,20.9,26,,4.51,82.25,0.92,647601,,,,
MAC,Asia,Macao,4/13/23,,,,,22.198745	,113.543873	,,,,,,695180,,,,,,,,,,,,,,,,,,,,1802985,679703,642266,481016,,125,259.36,97.77,92.39,69.19,180,13,0,,20546.77,39.2,9.8,4.99,104861.85,,,,,,,,84.24,,695180,,,,
MDG,Africa,Madagascar,7/21/24,68564,0,0,1427,-18.766947	,46.869107	,0,2142.12,0,0,44.58,29611718,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.95,19.6,2.93,1.69,1416.44,77.6,405.99,3.94,,,50.54,0.2,67.04,0.53,29611718,,,,
MWI,Africa,Malawi,7/21/24,89168,0,0,2686,-13.254308	,34.301525	,0,4111.77,0,0,123.86,20405318,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.52,18.1,2.98,1.78,1095.04,71.4,227.35,3.94,4.4,24.7,8.7,1.3,64.26,0.48,20405318,,,,
MYS,Asia,Malaysia,7/21/24,5306834,1984,283.43,37351,4.210484	    ,101.975766	,0,149149.27,55.76,7.97,1049.76,33938216,0,,4,0.12,60,1.77,,,167,4.92,,,,,,,,,,72656901,28138528,27551116,17185507,9,15,214.09,82.91,81.18,50.64,0,2,0,,96.25,29.9,6.29,3.41,26808.16,0.1,260.94,16.74,1,42.4,,1.9,76.16,0.81,33938216,,,,
MDV,Asia,Maldives,7/21/24,186694,0,0,316,3.202778	    ,73.22068	,0,353651.44,0,0,598.59,523798,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454.43,30.6,4.12,2.88,15183.62,,164.9,9.19,2.1,55,95.8,,78.92,0.74,523798,,,,
MLI,Africa,Mali,7/21/24,33166,0,0,743,17.570692	,-3.996166	,0,1352.72,0,0,30.3,22593598,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.2,16.4,2.52,1.49,2014.31,,268.02,2.42,1.6,23,52.23,0.1,59.31,0.43,22593598,,,,
MLT,Europe,Malta,7/21/24,122577,208,29.71,918,35.937496	,14.375416	,0.29,227023.66,385.24,55.03,1700.22,533293,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454.04,42.4,19.43,11.32,36513.32,0.2,168.71,8.83,20.9,30.2,,4.49,82.53,0.9,533293,,,,
MHL,Oceania,Marshall Islands,7/21/24,16252,0,0,17,7.131474	    ,171.184478	,0,433357.53,0,0,453.3,41593,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.15,,,,3819.2,,557.79,30.53,,,82.5,2.7,73.7,0.7,41593,,,,
MTQ,North America,Martinique,7/21/24,230354,0,0,1104,14.641528	,-61.024174	,0,671485.56,0,0,3218.18,367512,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,,12.54,,,,,,,,,82.54,,367512,,,,
MRT,Africa,Mauritania,7/21/24,63869,0,0,997,21.00789	    ,-10.940835	,0,12336.15,0,0,192.57,4736146,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.29,20.3,3.14,1.79,3597.63,6,232.35,2.42,,,15.95,,64.92,0.55,4736146,,,,
MUS,Africa,Mauritius,7/21/24,328167,0,0,1073,-20.348404	,57.552152	,0,258193.3,0,0,844.21,1299478,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.96,37.4,10.94,5.88,20292.74,0.5,224.64,22.02,3.2,40.7,,3.4,74.99,0.8,1299478,,,,
MYT,Africa,Mayotte,7/21/24,42027,0,0,187,-12.8275	    ,45.166244	,0,128488.14,0,0,571.71,326113,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,,2.41,,,,,,,,,79.46,,326113,,,,
MEX,North America,Mexico,7/21/24,7617685,425,60.71,334524,,,0,58185.58,3.25,0.46,2555.17,127504120,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.44,29.3,6.86,4.32,17336.47,2.5,152.78,13.06,6.9,21.4,87.85,1.38,75.05,0.78,127504120,,,,
FSM,Oceania,Micronesia (country),7/21/24,26460,0,0,65,7.425554	    ,150.550812	,0,233743.89,0,0,574.2,114178,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.78,23,4.81,2.39,3299.46,16,454.34,12.02,,,,,67.88,0.62,114178,,,,
MDA,Europe,Moldova,7/21/24,636266,255,36.43,12241,47.411631	,28.369885	,0.14,209792.25,84.08,12.01,4036.15,3272993,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.66,37.6,10.86,6.96,5189.97,0.2,408.5,5.72,5.9,44.6,86.98,5.8,71.9,0.75,3272993,,,,
MCO,Europe,Monaco,7/21/24,17181,0,0,67,43.750298	,7.412841	,0,444640.97,0,0,1733.95,36491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19347.5,,,,,,,5.46,,,,13.8,86.75,,36491,,,,
MNG,Asia,Mongolia,7/21/24,1011489,0,0,2136,46.862496	,103.846656	,0,290840.2,0,0,614.18,3398373,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,28.6,4.03,2.42,11840.85,0.5,460.04,4.82,5.5,46.5,71.18,7,69.87,0.74,3398373,,,,
MNE,Europe,Montenegro,7/21/24,251280,0,0,2654,42.708678	,19.37439	,0,393751.06,0,0,4158.77,627082,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.28,39.1,14.76,9.4,16409.29,1,387.3,10.08,44,47.9,,3.86,76.88,0.83,627082,,,,
MSR,North America,Montserrat,7/21/24,1403,0,0,8,16.742498	,-62.187366	,0,317974.66,0,0,1813.11,4413,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.16,,4413,,,,
MAR,Africa,Morocco,7/21/24,1279115,0,0,16305,31.791702	,-7.09262	,0,33572.28,0,0,427.95,37457976,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.08,29.6,6.77,4.21,7485.01,1,419.15,7.14,0.8,47.1,,1.1,76.68,0.69,37457976,,,,
MOZ,Africa,Mozambique,7/21/24,233841,0,0,2252,-18.665695	,35.529562	,0,6741.55,0,0,64.92,32969520,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.73,17.7,3.16,1.87,1136.1,62.9,329.94,3.3,5.1,29.1,12.23,0.7,60.85,0.46,32969520,,,,
MMR,Asia,Myanmar,7/21/24,642839,20,2.86,19494,21.913965	,95.956223	,0,11791.04,0.37,0.05,357.56,54179312,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.72,29.1,5.73,3.12,5591.6,6.4,202.1,4.61,6.3,35.2,79.29,0.9,67.13,0.58,54179312,,,,
NAM,Africa,Namibia,7/21/24,172526,0,0,4108,-22.95764	,18.49041	,0,56872.41,0,0,1354.18,2567024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08,22,3.55,2.08,9541.81,13.4,243.81,3.94,9.7,34.2,44.6,,63.71,0.65,2567024,,,,
NRU,Oceania,Nauru,7/21/24,5393,0,0,1,-0.522778	,166.931503	,0,450445.1,0,0,83.52,12691,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.45,,,,12895.64,,,24.07,43,36.9,,5,59.96,,12691,,,,
NPL,Asia,Nepal,7/21/24,1003450,0,0,12031,28.394857	,84.124008	,0,33844.03,0,0,405.78,30547586,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.43,25,5.81,3.21,2442.8,15,260.8,7.26,9.5,37.8,47.78,0.3,70.78,0.6,30547586,,,,
NLD,Europe,Netherlands,7/21/24,8639162,475,67.86,22986,52.132633	,5.291266	,0,473762.72,26.05,3.72,1260.53,17564020,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508.54,43.2,18.78,11.88,48472.54,,109.36,5.29,24.4,27.3,,3.32,82.28,0.94,17564020,,,,
NCL,Oceania,New Caledonia,7/21/24,80163,0,0,314,-20.904305	,165.618042	,0,273779.06,0,0,1072.4,289959,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.34,33.4,9.95,6.49,,,,23.36,,,,,77.55,,289959,,,,
NZL,Oceania,New Zealand,7/21/24,2635247,2261,323,4246,-40.900557	,174.885971	,4.29,505221.25,433.47,61.92,814.03,5185289,0.82,,,,,,,,,,,,,,,,,,,13373303,,,4919904,,1427,257.91,,,94.88,275,,,,18.21,37.9,15.32,9.72,36085.84,,128.8,8.08,14.8,17.2,,2.61,82.29,0.93,5185289,,,,
NIC,North America,Nicaragua,7/21/24,16179,4,0.57,245,12.865416	,-85.207229	,0,2337.62,0.58,0.08,35.4,6948395,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.67,27.3,5.44,3.52,5321.44,3.2,137.02,11.47,,,,0.9,74.48,0.66,6948395,,,,
NER,Africa,Niger,7/21/24,9518,0,0,315,17.607789	,8.081666	,0,351.46,0,0,11.63,26207982,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.95,15.1,2.55,1.38,926,44.5,238.34,2.42,0.1,15.4,8.98,0.3,62.42,0.39,26207982,,,,
NGA,Africa,Nigeria,7/21/24,267188,0,0,3155,9.081999	    ,8.675277	,0,1147,0,0,13.54,218541216,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.59,18.1,2.75,1.45,5338.45,,181.01,2.42,0.6,10.8,41.95,,54.69,0.54,218541216,,,,
NIU,Oceania,Niue,7/21/24,1074,0,0,0,-29.040835	,167.954712	,0,583361.25,0,0,0,1952,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.71,,1952,,,,
OWID_NAM,,North America,7/21/24,124485352,1065,152.14,1669595,40.339852	,127.510093	,62,202950.36,1.74,0.25,2721.97,600323657,0.1,,,,,,,,,,,,,,,,,,,1158543440,458563506,394493922,256264554,442,494,192.99,76.39,65.71,42.69,1,0,0,,,,,,,,,,,,,,,,600323657,,,,
PRK,Asia,North Korea,7/21/24,0,0,0,0,17.33083	    ,145.38469	,0,0,0,0,0,26069416,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.7,35.3,9.49,6.14,,,321.68,4,,,,13.2,72.27,,26069416,,,,
MKD,Europe,North Macedonia,7/21/24,350731,61,8.71,9977,,,0,192444.38,33.47,4.78,5474.33,2093606,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6,39.1,13.26,8.16,13111.21,5,322.69,10.08,,,,4.28,75.8,0.77,2093606,,,,
OWID_CYN,Asia,Northern Cyprus,12/6/22,,,,,,,,,,,,382836,,,,,,,,,,,,,,,,,,,,,,313067,,,,,,81.78,,,,,,,,,,,,,,,,,,,,382836,,,,
