iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,Latitude,Longitude,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,population,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
OWID_NIR,Europe,Northern Ireland,12/11/23,,,,,,,,,,,,1896000,,,,,44,23.21,,,29,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1896000,,,,
MNP,Oceania,Northern Mariana Islands,7/21/24,14837,58,8.29,41,,,0,335233.75,1310.48,187.21,926.37,49574,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.88,,,,,,194.99,,,,,,76.74,,49574,,,,
NOR,Europe,Norway,7/21/24,1511220,659,94.14,5732,60.472024	,8.468946	,0,270866.88,118.12,16.87,1027.39,5434324,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.46,39.7,16.82,10.81,64800.06,0.2,114.32,5.31,19.6,20.7,,3.6,82.4,0.96,5434324,,,,
OWID_OCE,,Oceania,7/21/24,14994074,2329,332.71,32880,,,4.29,325126.88,50.5,7.21,712.96,45038860,0.09,,,,,,,,,,,,,,,,,,,88333717,28960501,28072902,25376179,1427,1427,196.13,64.3,62.33,56.34,32,0,0,,,,,,,,,,,,,,,,45038860,,,,
OMN,Asia,Oman,7/21/24,399449,0,0,4628,21.512583	,55.923255	,0,75464.25,0,0,874.33,4576300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.98,30.7,2.36,1.53,37960.71,,266.34,12.61,0.5,15.6,97.4,1.6,77.86,0.81,4576300,,,,
PAK,Asia,Pakistan,7/21/24,1580631,0,0,30656,30.375321	,69.345116	,0,6285.17,0,0,121.9,235824864,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.57,23.5,4.5,2.78,5034.71,4,423.03,8.35,2.8,36.7,59.61,0.6,67.27,0.56,235824864,,,,
PLW,Oceania,Palau,7/21/24,6372,0,0,10,7.51498	    ,134.58252	,0,359649.56,0,0,564.42,18084,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.24,,,,13240.4,,,15.89,7.7,22.7,,4.8,73.7,0.83,18084,,,,
PSE,Asia,Palestine,7/21/24,703228,0,0,5708,31.952162	,35.233154	,0,127845.56,0,0,1037.7,5250076,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.2,20.4,3.04,1.73,4449.9,1,265.91,10.59,,,,,74.05,0.71,5250076,,,,
PAN,North America,Panama,7/21/24,1044783,52,7.43,8738,8.537981	    ,-80.782127	,0.71,231217.14,11.51,1.64,1933.78,4408582,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.13,29.7,7.92,5.03,22267.04,2.2,128.35,8.33,2.4,9.9,,2.3,78.51,0.82,4408582,,,,
PNG,Oceania,Papua New Guinea,7/21/24,46864,0,0,670,-6.314993	,143.95555	,0,4426.68,0,0,63.29,10142625,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.22,22.6,3.81,2.14,3823.19,,561.49,17.65,23.5,48.8,,,64.5,0.56,10142625,,,,
PRY,South America,Paraguay,7/21/24,735759,0,0,19880,-23.442503	,-58.443832	,0,106112.7,0,0,2867.14,6780745,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.14,26.5,6.38,3.83,8827.01,1.7,199.13,8.27,5,21.6,79.6,1.3,74.25,0.73,6780745,,,,
PER,South America,Peru,7/21/24,4526977,0,0,220975,-9.189967	,-75.015152	,0,132222.72,0,0,6454.18,34049588,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.13,29.1,7.15,4.46,12236.71,3.5,85.76,5.95,4.8,,,1.6,76.74,0.78,34049588,,,,
PHL,Asia,Philippines,7/21/24,4140383,0,0,66864,12.879721	,121.774017	,0,35725.19,0,0,576.93,115559008,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.87,25.2,4.8,2.66,7599.19,,370.44,7.07,7.8,40.8,78.46,1,71.23,0.72,115559008,,,,
PCN,Oceania,Pitcairn,8/29/22,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,117,47,47,23,,0,248.94,100,100,48.94,0,0,0,,,,,,,,,,,,,,,,47,,,,
POL,Europe,Poland,7/21/24,6666637,914,130.57,120718,51.919438	,19.145136	,0,173081.25,23.73,3.39,3134.12,39857144,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.03,41.8,16.76,10.2,27216.44,,227.33,5.91,23.3,33.1,,6.62,78.73,0.88,39857144,,,,
PRT,Europe,Portugal,7/21/24,5661625,1758,251.14,28695,39.399872	,-8.224454	,8.29,543104.8,168.64,24.09,2752.64,10270857,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.37,46.2,21.5,14.92,27936.9,0.5,127.84,9.85,16.3,30,,3.39,82.05,0.86,10270857,,,,
PRI,North America,Puerto Rico,7/21/24,1252713,0,0,5938,18.220833	,-66.590149	,0,386421.25,0,0,1831.68,3252412,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.23,38.2,15.17,9.83,35044.67,,108.09,12.9,,,,,80.1,,3252412,,,,
QAT,Asia,Qatar,7/21/24,514524,0,0,690,25.354826	,51.183884	,0,168578.95,0,0,226.07,2695131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.32,31.9,1.31,0.62,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.85,2695131,,,,
REU,Africa,Reunion,7/21/24,494595,0,0,921,-21.115141	,55.536384	,0,562804.6,0,0,1048.02,974062,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,6.84,,,,,,,,,80.48,,974062,,,,
ROU,Europe,Romania,7/21/24,3533987,1844,263.43,68815,45.943161	,24.96676	,0.86,185908.67,97,13.86,3620.08,19659270,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.13,43,17.85,11.69,23313.2,5.7,370.95,9.74,22.9,37.1,,6.89,76.05,0.83,19659270,,,,
RUS,Europe,Russia,7/21/24,24254803,5431,775.86,403155,61.52401	    ,105.318756	,2.86,167534.1,37.51,5.36,2784.69,144713312,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82,39.6,14.18,9.39,24765.95,0.1,431.3,6.18,23.4,58.3,,8.05,72.58,0.82,144713312,,,,
RWA,Africa,Rwanda,7/21/24,133264,0,0,1468,-1.940278	,29.873888	,0,9336.32,0,0,102.85,13776702,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.87,20.3,2.97,1.64,1854.21,56,191.38,4.28,4.7,21,4.62,,69.02,0.54,13776702,,,,
BLM,North America,Saint Barthelemy,7/21/24,5507,0,0,5,,,0,487743.66,0,0,442.84,10994,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10994,,,,
SHN,Africa,Saint Helena,7/21/24,2166,0,0,0,-24.143474	,-10.030696	,0,411810.66,0,0,0,5401,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.56,,5401,,,,
KNA,North America,Saint Kitts and Nevis,7/21/24,6607,0,0,46,17.357822	,-62.782998	,0,140960.7,0,0,981.41,47681,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.86,,,,24654.38,,,12.84,,,,2.3,76.23,0.78,47681,,,,
LCA,North America,Saint Lucia,7/21/24,30271,12,1.71,410,13.909444	,-60.978893	,0,168384.39,66.75,9.54,2280.65,179872,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.19,34.9,9.72,6.4,12951.84,,204.62,11.62,,,87.2,1.3,76.2,0.76,179872,,,,
MAF,North America,Saint Martin (French part),7/21/24,12324,0,0,46,,,0,472369.6,0,0,1763.14,31816,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.53,,,,,,,,,,,,82.08,,31816,,,,
SPM,North America,Saint Pierre and Miquelon,7/21/24,3426,0,0,2,46.941936	,-56.27111	,0,606498.1,0,0,354.06,5885,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885,,,,
VCT,North America,Saint Vincent and the Grenadines,7/21/24,9674,0,0,124,12.984305	,-61.287228	,0,96170.8,0,0,1232.7,103959,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.79,31.8,7.72,4.83,10727.15,,252.68,11.62,,,,2.6,72.53,0.74,103959,,,,
WSM,Oceania,Samoa,7/21/24,17057,0,0,31,,,0,78207.09,0,0,142.14,222390,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.41,22,5.61,3.56,6021.56,,348.98,9.21,16.7,38.1,,,73.32,0.72,222390,,,,
SMR,Europe,San Marino,7/21/24,25292,0,0,126,43.94236	    ,12.457777	,0,752614.75,0,0,3749.39,33690,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.67,,,,56861.47,,,5.64,,,,3.8,84.97,,33690,,,,
STP,Africa,Sao Tome and Principe,7/21/24,6771,0,0,80,,,0,28714.25,0,0,339.26,227393,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.84,18.7,2.89,2.16,3052.71,32.3,270.11,2.42,,,41.34,2.9,70.39,0.62,227393,,,,
SAU,Asia,Saudi Arabia,7/21/24,841469,0,0,9646,23.885942	,45.079162	,0,24752.13,0,0,283.74,36408824,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.32,31.9,3.3,1.84,49045.41,,259.54,17.72,1.8,25.4,,2.7,75.13,0.85,36408824,,,,
OWID_SCT,Europe,Scotland,10/2/23,,,,,,,,,,,,5466000,,,,,329,60.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000,,,,
SEN,Africa,Senegal,7/21/24,89409,0,0,1971,14.497401	,-14.452362	,0,4826.25,0,0,106.39,17316452,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.33,18.7,3.01,1.8,2470.58,38,241.22,2.42,0.4,16.6,20.86,,67.94,0.51,17316452,,,,
SRB,Europe,Serbia,7/21/24,2583470,0,0,18057,44.016521	,21.005859	,0,383666.66,0,0,2681.61,6871547,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.29,41.2,17.37,,14048.88,,439.42,10.08,37.7,40.2,97.72,5.61,76,0.81,6871547,,,,
SYC,Africa,Seychelles,7/21/24,51790,0,0,172,-4.679574	,55.491977	,0,396659.88,0,0,1317.35,107135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.35,36.2,8.61,5.59,26382.29,1.1,242.65,10.55,7.1,35.7,,3.6,73.4,0.8,107135,,,,
SLE,Africa,Sierra Leone,7/21/24,7979,0,0,125,8.460555	    ,-11.779889	,0,922.24,0,0,14.45,8605723,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.7,19.1,2.54,1.28,1390.3,52.2,325.72,2.42,8.8,41.3,19.27,,54.7,0.45,8605723,,,,
SGP,Asia,Singapore,7/21/24,3006155,0,0,2024,1.352083	    ,103.819836	,0,515238.78,0,0,346.9,5637022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7915.73,42.4,12.92,7.05,85535.38,,92.24,10.99,5.2,28.3,,2.4,83.62,0.94,5637022,,,,
SXM,North America,Sint Maarten (Dutch part),7/21/24,11051,0,0,92,,,0,254611.08,0,0,2119.65,44192,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1209.09,,,,36327.23,,,,,,,,78.95,,44192,,,,
SVK,Europe,Slovakia,7/21/24,1877895,29,4.14,21226,48.669026	,19.699024	,0,341124.6,5.27,0.75,3855.76,5643455,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.13,41.2,15.07,9.17,30155.15,0.7,287.96,7.29,23.1,37.7,,5.82,77.54,0.86,5643455,,,,
SVN,Europe,Slovenia,7/21/24,1356318,100,14.29,10073,46.151241	,14.995463	,0.57,640195.06,47.2,6.74,4754.55,2119843,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.62,44.5,19.06,12.93,31400.84,,153.49,7.25,20.1,25,,4.5,81.32,0.92,2119843,,,,
SLB,Oceania,Solomon Islands,7/21/24,25954,0,0,199,-9.64571	    ,160.156194	,0,31640.7,0,0,242.6,724272,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.84,20.8,3.51,2.04,2205.92,25.1,459.78,18.68,,,35.89,1.4,73,0.57,724272,,,,
SOM,Africa,Somalia,7/21/24,27334,0,0,1361,5.152149	    ,46.199616	,0,1435.27,0,0,71.46,17597508,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,16.8,2.73,1.5,,,365.77,6.05,,,9.83,0.9,57.4,,17597508,,,,
ZAF,Africa,South Africa,7/21/24,4072759,0,0,102595,-30.559482	,22.937506	,0,63589.43,0,0,1601.85,59893884,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.75,27.3,5.34,3.05,12294.88,18.9,200.38,5.52,8.1,33.2,43.99,2.32,64.13,0.71,59893884,,,,
OWID_SAM,,South America,7/21/24,68819148,1296,185.14,1354206,,,0.14,157933.36,2.97,0.42,3107.77,436816679,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436816679,,,,
KOR,Asia,South Korea,7/21/24,34571873,0,0,35934,35.907757	,127.766922	,0,668510,0,0,694.85,51815808,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,527.97,43.4,13.91,8.62,35938.37,0.2,86,6.8,6.2,40.9,,12.27,83.03,0.92,51815808,,,,
SSD,Africa,South Sudan,7/21/24,18823,0,0,147,,,0,1574.24,0,0,12.29,10913172,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,3.44,2.03,1569.89,,280.77,10.43,,,,,57.85,0.43,10913172,,,,
ESP,Europe,Spain,7/21/24,13980340,,,121852,40.463667	,-3.74922	,,291807.84,,,2543.38,47558632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.1,45.5,19.44,13.8,34272.36,1,99.4,7.17,27.4,31.4,,2.97,83.56,0.9,47558632,,,,
LKA,Asia,Sri Lanka,7/21/24,672797,6,0.86,16907,7.873054	    ,80.771797	,0,29112.23,0.26,0.04,731.57,21832150,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.96,34.1,10.07,5.33,11669.08,0.7,197.09,10.68,0.3,27,,3.6,76.98,0.78,21832150,,,,
SDN,Africa,Sudan,7/21/24,63993,0,0,5046,12.862807	,30.217636	,0,1266.8,0,0,99.89,46874200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.26,19.7,3.55,2.03,4466.51,,431.39,15.67,,,23.44,0.8,65.31,0.51,46874200,,,,
SUR,South America,Suriname,7/21/24,82501,0,0,1406,3.919305	    ,-56.027783	,0,129977.07,0,0,2215.1,618046,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.61,29.6,6.93,4.23,13767.12,,258.31,12.54,7.4,42.9,67.78,3.1,71.68,0.74,618046,,,,
SWE,Europe,Sweden,7/21/24,2753981,412,58.86,27339,60.128161	,18.643501	,0,259571.66,38.83,5.55,2576.79,10549349,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.72,41,19.98,13.43,46949.28,0.5,133.98,4.79,18.8,18.9,,2.22,82.8,0.94,10549349,,,,
CHE,Europe,Switzerland,7/21/24,4456903,550,78.57,14170,46.818188	,8.227512	,0,499402.56,61.63,8.8,1587.77,8740471,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.24,43.1,18.44,12.64,57410.17,,99.74,5.59,22.6,28.9,,4.53,83.78,0.96,8740471,,,,
SYR,Asia,Syria,7/21/24,57423,0,0,3163,34.802075	,38.996815	,0,2322.5,0,0,127.93,22125242,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,,2.58,,,376.26,,,,70.6,1.5,72.7,0.57,22125242,,,,
TWN,Asia,Taiwan,9/24/23,,,,,23.69781	    ,120.960515	,,,,,,23893396,,,,,,,,,,,,,,,,,,,,68158988,21899240,20793089,25466659,,323,285.26,91.65,87.02,106.58,14,43,0,,,42.2,,8.35,,,103.96,,,,,,80.46,,23893396,,,,
TJK,Asia,Tajikistan,7/21/24,17786,0,0,125,38.861034	,71.276093	,0,1677.66,0,0,11.79,9952789,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.28,23.3,3.47,2.15,2896.91,4.8,427.7,7.11,,,72.7,4.8,71.1,0.67,9952789,,,,
TZA,Africa,Tanzania,7/21/24,43230,0,0,846,-6.369028	,34.888822	,0,629.54,0,0,12.32,65497752,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7,17.7,3.11,1.87,2683.3,49.1,217.29,5.75,3.3,26.7,47.95,0.7,65.46,0.53,65497752,,,,
THA,Asia,Thailand,7/21/24,4797692,1067,152.43,34712,15.870032	,100.992541	,0.43,66945.75,14.89,2.13,484.36,71697024,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.13,40.1,11.37,6.89,16277.67,0.1,109.86,7.04,1.9,38.8,90.67,2.1,77.15,0.78,71697024,,,,
TGO,Africa,Togo,7/21/24,39530,0,0,290,8.619543	    ,0.824782	,0,4149.46,0,0,30.44,8848700,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.37,19.4,2.84,1.52,1429.81,49.2,280.03,6.15,0.9,14.2,10.48,0.7,61.04,0.52,8848700,,,,
TKL,Oceania,Tokelau,7/21/24,80,0,0,0,,,0,31574.4,0,0,0,1893,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.86,,1893,,,,
TON,Oceania,Tonga,7/21/24,16976,3,0.43,12,,,0,162969.95,28.8,4.11,115.2,106867,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.03,22.3,5.82,4.03,5425.62,,227.49,15.42,11.8,44.4,,2.6,70.91,0.72,106867,,,,
TTO,North America,Trinidad and Tobago,7/21/24,191496,0,0,4390,10.691803	,-61.222503	,0,126989.73,0,0,2911.21,1531043,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.89,36.2,10.01,5.82,28763.07,,228.47,10.97,,,89.44,3,73.51,0.8,1531043,,,,
TUN,Africa,Tunisia,7/21/24,1153361,0,0,29423,33.886917	,9.537499	,0,93914.11,0,0,2395.81,12356116,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.23,32.7,8,5.08,10849.3,2,318.99,8.52,1.1,65.8,78.69,2.3,76.7,0.74,12356116,,,,
TUR,Asia,Turkey,7/21/24,17004718,0,0,101419,38.963745	,35.243322	,0,194372.08,0,0,1159.27,85341248,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.91,31.6,8.15,5.06,25129.34,0.2,171.28,12.13,14.1,41.1,,2.81,77.69,0.82,85341248,,,,
TKM,Asia,Turkmenistan,7/21/24,0,0,0,0,38.969719	,59.556278	,0,0,0,0,0,6430777,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25,26.9,4.28,2.54,16389.02,,536.78,7.11,,,100,7.4,68.19,0.72,6430777,,,,
TCA,North America,Turks and Caicos Islands,7/21/24,6805,4,0.57,40,21.694025	,-71.797928	,0,146094.72,85.88,12.27,858.75,45726,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.31,,,,,,,,,,,,80.22,,45726,,,,
TUV,Oceania,Tuvalu,7/21/24,2943,0,0,1,-7.109535	,177.64933	,0,304638.94,0,0,103.51,11335,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.07,,,,3575.1,3.3,,27.25,,,,,67.57,,11335,,,,
UGA,Africa,Uganda,7/21/24,172154,0,0,3632,1.373333	    ,32.290275	,0,3436.88,0,0,72.51,47249588,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.76,16.4,2.17,1.31,1697.71,41.6,213.33,2.5,3.4,16.7,21.22,0.5,63.37,0.54,47249588,,,,
UKR,Europe,Ukraine,7/21/24,5532518,71,10.14,109920,48.379433	,31.16558	,0,145893.58,1.87,0.27,2898.61,39701744,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.39,41.4,16.46,11.13,7894.39,0.1,539.85,7.11,13.5,47.4,,8.8,72.06,0.78,39701744,,,,
ARE,Asia,United Arab Emirates,7/21/24,1067030,0,0,2349,23.424076	,53.847818	,0,96610.96,0,0,212.68,9441138,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.44,34,1.14,0.53,67293.48,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,9441138,,,,
GBR,Europe,United Kingdom,7/21/24,24964791,4052,578.86,232112,55.378051	,-3.435973	,0,360967.22,58.59,8.37,3356.12,67508936,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272.9,40.8,18.52,12.53,39753.24,0.2,122.14,4.28,20,24.7,,2.54,81.32,0.93,67508936,,,,
USA,North America,United States,7/21/24,103436829,,,1191632,37.09024	    ,-95.712891	,60.43,299358.84,,,3448.73,338289856,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.61,38.3,15.41,9.73,54225.45,1.2,151.09,10.79,19.1,24.6,,2.77,78.86,0.93,338289856,,,,
VIR,North America,United States Virgin Islands,7/21/24,25389,0,0,132,,,0,299116.7,0,0,1555.14,99479,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.48,42.2,18.6,10.8,,,273.67,12.26,,,,,80.58,,99479,,,,
OWID_UMC,,Upper-middle-income countries,7/21/24,251733091,12808,1829.71,2824370,,,4.57,88470.83,4.5,0.64,992.62,2525921300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525921300,,,,
URY,South America,Uruguay,7/21/24,1041317,10,1.43,7682,-32.522779	,-55.765835	,0,307492.62,2.95,0.42,2268.43,3422796,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.75,35.6,14.66,10.36,20551.41,0.1,160.71,6.93,14,19.9,,2.8,77.91,0.82,3422796,,,,
UZB,Asia,Uzbekistan,7/21/24,175081,0,0,1016,41.377491	,64.585262	,0,4809.95,0,0,27.91,34627648,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.13,28.2,4.47,2.87,6253.1,,724.42,7.57,1.3,24.7,,4,71.72,0.72,34627648,,,,
VUT,Oceania,Vanuatu,7/21/24,12019,0,0,14,-15.376706	,166.959158	,0,36621.85,0,0,42.66,326744,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.66,23.1,4.39,2.62,2921.91,13.2,546.3,12.02,2.8,34.5,25.21,,70.47,0.61,326744,,,,
VAT,Europe,Vatican,7/21/24,26,0,0,0,41.902916	,12.453389	,0,51265.43,0,0,0,808,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.12,,808,,,,
VEN,South America,Venezuela,7/21/24,552695,0,0,5856,6.42375	    ,-66.58973	,0,19453.12,0,0,206.11,28301700,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.25,29,6.61,3.92,16745.02,,204.85,6.47,,,,0.8,72.06,0.71,28301700,,,,
VNM,Asia,Vietnam,7/21/24,11624000,0,0,43206,14.058324	,108.277199	,0,115065.01,0,0,427.69,98186856,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.13,32.6,7.15,4.72,6171.88,2,245.46,6,1,45.9,85.85,2.6,75.4,0.7,98186856,,,,
OWID_WLS,Europe,Wales,7/12/23,,,,,24.215527	,-12.885834	,,,,,,3170000,,,5,1.58,142,44.8,,,5,1.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3170000,,,,
WLF,Oceania,Wallis and Futuna,7/21/24,3760,0,0,9,,,0,332785.72,0,0,796.56,11596,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.94,,11596,,,,
ESH,Africa,Western Sahara,4/20/22,,,,,,,,,,,,576005,,,,,,,,,,,3943,,6.97,,,,,,tests performed,,,,,,,,,,,,,,,,28.4,,1.38,,,,,,,,,70.26,,576005,,,,
OWID_WRL,,World,7/21/24,775730930,38544,5506.29,7054878,,,87.43,95370.62,4.74,0.68,867.35,7975105024,0.01,,,,,,,,,,,,,,,,,,,13578740529,5631263512,5177942781,2817351712,2050,2108,170.26,70.61,64.93,35.33,0,10,0,,58.04,30.9,8.7,5.36,15469.21,10,233.07,8.51,6.43,34.64,60.13,2.7,72.58,0.74,7975105024,,,,
YEM,Asia,Yemen,7/21/24,11945,0,0,2159,15.552727	,48.516388	,0,293.86,0,0,53.11,33696612,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.51,20.3,2.92,1.58,1479.15,18.8,495,5.35,7.6,29.2,49.54,0.7,66.12,0.47,33696612,,,,
ZMB,Africa,Zambia,7/21/24,349749,0,0,4069,-13.133897	,27.849332	,0,16383.39,0,0,190.6,20017670,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,17.7,2.48,1.54,3689.25,57.5,234.5,3.94,3.1,24.7,13.94,2,63.89,0.58,20017670,,,,
ZWE,Africa,Zimbabwe,7/21/24,266385,0,0,5740,-19.015438	,29.154857	,0,15997.46,0,0,344.71,16320539,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.73,19.6,2.82,1.88,1899.78,21.4,307.85,1.82,1.6,30.7,36.79,1.7,61.49,0.57,16320539,,,,